Nombre,$ de compra,Cantidad,Precio x unidad
Tiras de dulces, $ 13.500 ,60, 0.225
Super coco , $ 6.700 ,50, 0.134
Nutella peque単a, $ 8.800 ,1, 8.800
Manimoto por paquete, $ 1.300 ,1, 1.300
M&M, $ 26.000 ,17, 1.529
Kisses, $ 103.000 ,330, 0.312
Jumbo mani mini, $ 17.500 ,24, 0.729
Jet wafer, $ 8.500 ,10, 0.850
Jets peque単as x24, $ 8.300 ,24, 0.345 
Hershey blanco, $ 6.500 ,8, 0.812
Hershey paquete, $ 69.500 ,35, 1.985 
gusanos, $ 1.700 ,1, 1.700
Frunas , $ 7.600 ,32, 0.237 
Cocosette, $ 11.800 ,8, 1.475 
Chicles Sandia, $ 8.000 ,30, 0.266 
Champaigne rosada, $ 18.500 ,1, 18.500
Bon Bon Bum, $ 7.300 ,24, 0.304
Barrilete, $ 8.200 ,40, 0.205 
Hershey grande, $ 3.200 ,1, 3.200 
Jets Medianas x12, $ 8.000 ,12, 0.666
Jet x50, $ 30.500 ,50, 0.610
M&M, $ 3.900 ,1, 3.900
Ferrero x3, $ 4.800 ,3, 1.600 
Ferrero x4, $ 7.500 ,4, 1.875 
Masmelos x50, $ 7.000 ,50, 0.140 
Galleta Chokis x6, $ 7.300 ,6, 1.216 
Chocobreak x30, $ 4.900 ,30, 0.163
Chocobreak x50, $ 7.800 ,50, 0.156 
Piazza x24, $ 7.800 ,24, 0.325
Chocodisk x18, $ 11.300 ,18, 0.627 
Chocodisk x6, $ 3.800 ,6, 0.633
Paq Mini Oreos , $ 1.500 ,1, 1.500 
Mini Brownies x15, $ 10.500 ,15, 0.700 
Snickers, $ 3.900 ,1, 3.900
Milkiway , $ 3.900 ,1, 3.900 
Gol x24, $ 25.000 ,24, 1.041 
Kitkat , $ 3.500 ,1, 3.500 
Kitkat paquete x24, $ 77.000 ,24, 3.208 
Pringles x12, $ 54.000 ,12, 4.500
Chocomelos x30, $ 5.200 ,30, 0.173 
Chocorramo Mini x20, $ 11.500 ,20, 0.575 
Mini Pinguinos x12, $ 8.500 ,12, 0.708 
Pringles grandes , $ 11.500 ,1, 11.500 
Papas de Limon x12, $ 17.000 ,12, 1.416 
De toditos picantes x12, $ 13.500 ,12, 1.125 
Takis peque単o, $ 2.400 ,1, 2.400
Skittles, $ 3.900 ,1, 3.900
Hatsu Lata , $ 2.500 ,1, 2.500 
Hatsu Botella Grande, $ 3.500 ,1, 3.500 
Hatsu Botella Peque単a, $ 3.000 ,1, 3.000 
Burbujets, 7.000,12,0.583
ferrero x8,21.450,8,2.681
mani la especial,1.500,1,1.500
